product_title,product_url,brand,sales_price,mrp,discount_percent,number_of_ratings,number_of_reviews,type_of_oven,model_name,star_rating,capacity_litres
"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SE black, Black)",https://www.flipkart.com/whirlpool-20-l-solo-microwave-oven/p/itm55e37900bfc42?pid=MRCFHW7R6ZYZPPJT&lid=LSTMRCFHW7R6ZYZPPJTTT2WQW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_1_24&otracker=browse&iid=4855a663-38ca-44f5-a486-471573cd493d.MRCFHW7R6ZYZPPJT.SEARCH&ssid=me5nc1fnj40000001686492252251,Whirlpool,5950,7000,15,2213,182,Solo,MAGICOOK PRO 20SE black,4.2,20
"LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itm990403bd4cb89?pid=MRCFUXWCZ4H5QE5D&lid=LSTMRCFUXWCZ4H5QE5DJPUJGX&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_25&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCFUXWCZ4H5QE5D.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,15499,21799,28,188,31,Convection,MC2886BPUM,4.6,28
"Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",https://www.flipkart.com/panasonic-27-l-convection-microwave-oven/p/itmegz8zzy66feze?pid=MRCEGZ8Y8X6FNTQU&lid=LSTMRCEGZ8Y8X6FNTQUFO8MID&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_26&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEGZ8Y8X6FNTQU.SEARCH&ssid=wu09agxz9c0000001686492361328,Panasonic,11990,16190,25,1395,204,Convection,NN-CT645BFDG,4.4,27
"LG 21 L Convection Microwave Oven  (MC2146BV, Black)",https://www.flipkart.com/lg-21-l-convection-microwave-oven/p/itmew8zyhmdn8ezp?pid=MRCEW8ZYHPCUW8K9&lid=LSTMRCEW8ZYHPCUW8K9DL1ZHL&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_27&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEW8ZYHPCUW8K9.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,10390,14499,28,2313,266,Convection,MC2146BV,4.4,21
"BAJAJ 23 L Convection & Grill Microwave Oven  (2310 ETC Convection Microwave Oven 23L, Black)",https://www.flipkart.com/bajaj-23-l-convection-grill-microwave-oven/p/itm12862b24c7eb2?pid=MRCG6FG9UHURMYDR&lid=LSTMRCG6FG9UHURMYDRWUNXC0&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_29&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCG6FG9UHURMYDR.SEARCH&ssid=wu09agxz9c0000001686492361328,BAJAJ,9499,17775,46,202,24,Convection & Grill,2310 ETC Convection Microwave Oven 23L,4.4,23
"LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itm1a4135ec361fc?pid=MRCGGJFYW4GCSJBF&lid=LSTMRCGGJFYW4GCSJBFGJV1FA&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_30&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCGGJFYW4GCSJBF.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,20989,25499,17,4,0,Convection,MJEN286UI,4.0,28
"SAMSUNG 28 L Convection Microwave Oven  (MC28A5025VP, Black with Pattern)",https://www.flipkart.com/samsung-28-l-convection-microwave-oven/p/itm2f7daba92aca8?pid=MRCGDAVXZXKCNBB8&lid=LSTMRCGDAVXZXKCNBB8OD60YD&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_31&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCGDAVXZXKCNBB8.SEARCH&ssid=wu09agxz9c0000001686492361328,SAMSUNG,14790,20990,29,603,50,Convection,MC28A5025VP,4.4,28
"IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)",https://www.flipkart.com/ifb-20-l-metallic-silver-convection-microwave-oven/p/itmdwmvzxgbcdvg9?pid=MRCDWK8TMQCEGTYK&lid=LSTMRCDWK8TMQCEGTYKHQSFZU&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_32&otracker=browse&iid=en_DgpJD1W6RdrPrj2GkXBdJ5TQWAYnDaxp9kOTHOAp%2FhZrGL5K1vv0w4QGDmKpwnAHPW1NikCnT72sTL553oaIPA%3D%3D&ssid=wu09agxz9c0000001686492361328,IFB,10690,13490,20,9964,1228,Convection,20SC2,4.4,20
"LG 28 L Convection Microwave Oven  (MC2846SL, Silver)",https://www.flipkart.com/lg-28-l-convection-microwave-oven/p/itmejy9azg8a4u9g?pid=MRCEJY9AMKNNGJ8Z&lid=LSTMRCEJY9AMKNNGJ8ZGMNORW&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_33&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCEJY9AMKNNGJ8Z.SEARCH&ssid=wu09agxz9c0000001686492361328,LG,12990,17699,26,3992,501,Convection,MC2846SL,4.4,28
"SAMSUNG 28 L Convection Microwave Oven  (MC28A5145VK/TL, Black)",https://www.flipkart.com/samsung-28-l-convection-microwave-oven/p/itmefcf22843baf0?pid=MRCG6M25YPKPANE3&lid=LSTMRCG6M25YPKPANE3D496SF&marketplace=FLIPKART&store=j9e%2Fm38%2Fo49&srno=b_2_34&otracker=browse&iid=aac439a3-d32a-4f2c-99ae-81353a11fe39.MRCG6M25YPKPANE3.SEARCH&ssid=wu09agxz9c0000001686492361328,SAMSUNG,16600,18952,12,49,1,Convection,MC28A5145VK/TL,4.2,28
